YYYY,MM,DD,Total,North,South,Date,Difference
1874,5,1,-1,-1,-1,1874-5-1,0
1874,5,2,-1,-1,-1,1874-5-2,0
1874,5,3,-1,-1,-1,1874-5-3,0
1874,5,4,-1,-1,-1,1874-5-4,0
1874,5,5,-1,-1,-1,1874-5-5,0
1874,5,6,-1,-1,-1,1874-5-6,0
1874,5,7,-1,-1,-1,1874-5-7,0
1874,5,8,-1,-1,-1,1874-5-8,0
1874,5,9,1298,446,852,1874-5-9,-406
1874,5,10,1150,343,807,1874-5-10,-464
1874,5,11,767,240,527,1874-5-11,-287
1874,5,12,389,0,389,1874-5-12,-389
1874,5,13,350,0,350,1874-5-13,-350
1874,5,14,312,0,312,1874-5-14,-312
1874,5,15,273,0,273,1874-5-15,-273
1874,5,16,314,0,314,1874-5-16,-314
1874,5,17,217,0,217,1874-5-17,-217
1874,5,18,119,0,119,1874-5-18,-119
1874,5,19,28,0,28,1874-5-19,-28
1874,5,20,329,0,329,1874-5-20,-329
1874,5,21,222,0,222,1874-5-21,-222
1874,5,22,281,0,281,1874-5-22,-281
1874,5,23,210,0,210,1874-5-23,-210
1874,5,24,155,0,155,1874-5-24,-155
1874,5,25,100,0,100,1874-5-25,-100
1874,5,26,428,384,44,1874-5-26,340
1874,5,27,353,353,0,1874-5-27,353
1874,5,28,322,322,0,1874-5-28,322
1874,5,29,290,290,0,1874-5-29,290
1874,5,30,259,259,0,1874-5-30,259
1874,5,31,231,231,0,1874-5-31,231
1874,6,1,313,202,111,1874-6-1,91
1874,6,2,392,226,166,1874-6-2,60
1874,6,3,375,221,154,1874-6-3,67
1874,6,4,358,216,142,1874-6-4,74
1874,6,5,340,213,127,1874-6-5,86
1874,6,6,-1,-1,-1,1874-6-6,0
1874,6,7,-1,-1,-1,1874-6-7,0
1874,6,8,-1,-1,-1,1874-6-8,0
1874,6,9,-1,-1,-1,1874-6-9,0
1874,6,10,-1,-1,-1,1874-6-10,0
1874,6,11,50,0,50,1874-6-11,-50
1874,6,12,30,0,30,1874-6-12,-30
1874,6,13,134,26,108,1874-6-13,-82
1874,6,14,69,0,69,1874-6-14,-69
1874,6,15,184,126,58,1874-6-15,68
1874,6,16,284,199,85,1874-6-16,114
1874,6,17,412,272,140,1874-6-17,132
1874,6,18,540,345,195,1874-6-18,150
1874,6,19,668,418,250,1874-6-19,168
1874,6,20,461,461,0,1874-6-20,461
1874,6,21,504,504,0,1874-6-21,504
1874,6,22,548,548,0,1874-6-22,548
1874,6,23,589,589,0,1874-6-23,589
1874,6,24,543,543,0,1874-6-24,543
1874,6,25,541,541,0,1874-6-25,541
1874,6,26,243,243,0,1874-6-26,243
1874,6,27,390,373,17,1874-6-27,356
1874,6,28,564,346,218,1874-6-28,128
1874,6,29,738,319,419,1874-6-29,-100
1874,6,30,1110,355,755,1874-6-30,-400
1874,7,1,975,271,704,1874-7-1,-433
1874,7,2,972,200,772,1874-7-2,-572
1874,7,3,739,265,474,1874-7-3,-209
1874,7,4,1724,717,1007,1874-7-4,-290
1874,7,5,1897,898,999,1874-7-5,-101
1874,7,6,2225,1164,1061,1874-7-6,103
1874,7,7,2087,1251,836,1874-7-7,415
1874,7,8,2163,1320,843,1874-7-8,477
1874,7,9,1933,1293,640,1874-7-9,653
1874,7,10,1424,887,537,1874-7-10,350
1874,7,11,1207,665,542,1874-7-11,123
1874,7,12,988,442,546,1874-7-12,-104
1874,7,13,769,218,551,1874-7-13,-333
1874,7,14,370,134,236,1874-7-14,-102
1874,7,15,780,335,445,1874-7-15,-110
1874,7,16,990,453,537,1874-7-16,-84
1874,7,17,750,750,0,1874-7-17,750
1874,7,18,731,731,0,1874-7-18,731
1874,7,19,696,696,0,1874-7-19,696
1874,7,20,829,829,0,1874-7-20,829
1874,7,21,768,768,0,1874-7-21,768
1874,7,22,937,937,0,1874-7-22,937
1874,7,23,1336,1336,0,1874-7-23,1336
1874,7,24,1278,1278,0,1874-7-24,1278
1874,7,25,370,370,0,1874-7-25,370
1874,7,26,294,294,0,1874-7-26,294
1874,7,27,290,290,0,1874-7-27,290
1874,7,28,285,285,0,1874-7-28,285
1874,7,29,280,280,0,1874-7-29,280
1874,7,30,910,910,0,1874-7-30,910
1874,7,31,1042,1042,0,1874-7-31,1042
1874,8,1,1014,1014,0,1874-8-1,1014
1874,8,2,987,987,0,1874-8-2,987
1874,8,3,1224,959,265,1874-8-3,694
1874,8,4,1031,769,262,1874-8-4,507
1874,8,5,992,732,260,1874-8-5,472
1874,8,6,950,694,256,1874-8-6,438
1874,8,7,1067,752,315,1874-8-7,437
1874,8,8,1700,1327,373,1874-8-8,954
1874,8,9,979,675,304,1874-8-9,371
1874,8,10,1812,679,1133,1874-8-10,-454
1874,8,11,1948,659,1289,1874-8-11,-630
1874,8,12,1557,475,1082,1874-8-12,-607
1874,8,13,1564,448,1116,1874-8-13,-668
1874,8,14,1570,420,1150,1874-8-14,-730
1874,8,15,1471,463,1008,1874-8-15,-545
1874,8,16,1260,461,799,1874-8-16,-338
1874,8,17,1144,459,685,1874-8-17,-226
1874,8,18,1013,425,588,1874-8-18,-163
1874,8,19,1245,469,776,1874-8-19,-307
1874,8,20,1587,374,1213,1874-8-20,-839
1874,8,21,766,78,688,1874-8-21,-610
1874,8,22,478,45,433,1874-8-22,-388
1874,8,23,344,0,344,1874-8-23,-344
1874,8,24,377,44,333,1874-8-24,-289
1874,8,25,280,57,223,1874-8-25,-166
1874,8,26,287,57,230,1874-8-26,-173
1874,8,27,241,24,217,1874-8-27,-193
1874,8,28,247,29,218,1874-8-28,-189
1874,8,29,278,29,249,1874-8-29,-220
1874,8,30,92,19,73,1874-8-30,-54
1874,8,31,73,8,65,1874-8-31,-57
1874,9,1,93,0,93,1874-9-1,-93
1874,9,2,127,0,127,1874-9-2,-127
1874,9,3,243,0,243,1874-9-3,-243
1874,9,4,427,69,358,1874-9-4,-289
1874,9,5,352,33,319,1874-9-5,-286
1874,9,6,33,33,0,1874-9-6,33
1874,9,7,34,34,0,1874-9-7,34
1874,9,8,34,34,0,1874-9-8,34
1874,9,9,115,63,52,1874-9-9,11
1874,9,10,160,75,85,1874-9-10,-10
1874,9,11,237,0,237,1874-9-11,-237
1874,9,12,517,129,388,1874-9-12,-259
1874,9,13,122,122,0,1874-9-13,122
1874,9,14,114,114,0,1874-9-14,114
1874,9,15,48,0,48,1874-9-15,-48
1874,9,16,39,0,39,1874-9-16,-39
1874,9,17,31,0,31,1874-9-17,-31
1874,9,18,22,0,22,1874-9-18,-22
1874,9,19,14,0,14,1874-9-19,-14
1874,9,20,14,0,14,1874-9-20,-14
1874,9,21,13,0,13,1874-9-21,-13
1874,9,22,460,65,395,1874-9-22,-330
1874,9,23,456,58,398,1874-9-23,-340
1874,9,24,465,51,414,1874-9-24,-363
1874,9,25,510,95,415,1874-9-25,-320
1874,9,26,468,88,380,1874-9-26,-292
1874,9,27,444,62,382,1874-9-27,-320
1874,9,28,1419,34,1385,1874-9-28,-1351
1874,9,29,1814,15,1799,1874-9-29,-1784
1874,9,30,1233,10,1223,1874-9-30,-1213
1874,10,1,1470,0,1470,1874-10-1,-1470
1874,10,2,1321,0,1321,1874-10-2,-1321
1874,10,3,1454,0,1454,1874-10-3,-1454
1874,10,4,1235,0,1235,1874-10-4,-1235
1874,10,5,1044,0,1044,1874-10-5,-1044
1874,10,6,941,0,941,1874-10-6,-941
1874,10,7,838,0,838,1874-10-7,-838
1874,10,8,749,15,734,1874-10-8,-719
1874,10,9,594,59,535,1874-10-9,-476
1874,10,10,672,103,569,1874-10-10,-466
1874,10,11,204,0,204,1874-10-11,-204
1874,10,12,175,0,175,1874-10-12,-175
1874,10,13,145,0,145,1874-10-13,-145
1874,10,14,111,0,111,1874-10-14,-111
1874,10,15,319,242,77,1874-10-15,165
1874,10,16,218,218,0,1874-10-16,218
1874,10,17,195,195,0,1874-10-17,195
1874,10,18,171,171,0,1874-10-18,171
1874,10,19,283,148,135,1874-10-19,13
1874,10,20,211,132,79,1874-10-20,53
1874,10,21,200,99,101,1874-10-21,-2
1874,10,22,209,66,143,1874-10-22,-77
1874,10,23,117,27,90,1874-10-23,-63
1874,10,24,-1,-1,-1,1874-10-24,0
1874,10,25,-1,-1,-1,1874-10-25,0
1874,10,26,-1,-1,-1,1874-10-26,0
1874,10,27,-1,-1,-1,1874-10-27,0
1874,10,28,-1,-1,-1,1874-10-28,0
1874,10,29,0,0,0,1874-10-29,0
1874,10,30,0,0,0,1874-10-30,0
1874,10,31,-1,-1,-1,1874-10-31,0
1874,11,1,-1,-1,-1,1874-11-1,0
1874,11,2,-1,-1,-1,1874-11-2,0
1874,11,3,446,0,446,1874-11-3,-446
1874,11,4,518,0,518,1874-11-4,-518
1874,11,5,486,0,486,1874-11-5,-486
1874,11,6,458,0,458,1874-11-6,-458
1874,11,7,557,0,557,1874-11-7,-557
1874,11,8,689,0,689,1874-11-8,-689
1874,11,9,820,0,820,1874-11-9,-820
1874,11,10,636,0,636,1874-11-10,-636
1874,11,11,451,0,451,1874-11-11,-451
1874,11,12,211,87,124,1874-11-12,-37
1874,11,13,149,149,0,1874-11-13,149
1874,11,14,222,222,0,1874-11-14,222
1874,11,15,295,295,0,1874-11-15,295
1874,11,16,368,368,0,1874-11-16,368
1874,11,17,234,234,0,1874-11-17,234
1874,11,18,335,335,0,1874-11-18,335
1874,11,19,436,436,0,1874-11-19,436
1874,11,20,903,903,0,1874-11-20,903
1874,11,21,840,840,0,1874-11-21,840
1874,11,22,777,777,0,1874-11-22,777
1874,11,23,712,712,0,1874-11-23,712
1874,11,24,320,320,0,1874-11-24,320
1874,11,25,289,289,0,1874-11-25,289
1874,11,26,257,257,0,1874-11-26,257
1874,11,27,226,226,0,1874-11-27,226
1874,11,28,-1,-1,-1,1874-11-28,0
1874,11,29,-1,-1,-1,1874-11-29,0
1874,11,30,-1,-1,-1,1874-11-30,0
1874,12,1,-1,-1,-1,1874-12-1,0
1874,12,2,0,0,0,1874-12-2,0
1874,12,3,0,0,0,1874-12-3,0
1874,12,4,0,0,0,1874-12-4,0
1874,12,5,-1,-1,-1,1874-12-5,0
1874,12,6,-1,-1,-1,1874-12-6,0
1874,12,7,111,0,111,1874-12-7,-111
1874,12,8,83,0,83,1874-12-8,-83
1874,12,9,280,162,118,1874-12-9,44
