Year,Mon,N_Area,S_Area,Date,Difference
1874,5,124.7,240.4,1874-5,-115.7
1874,6,291.4,123.8,1874-6,167.6
1874,7,687.4,346.1,1874-7,341.3
1874,8,439.7,514.4,1874-8,-74.7
1874,9,39.5,295.8,1874-9,-256.3
1874,10,59,456,1874-10,-397
1874,11,258,207.4,1874-11,50.6
1874,12,166.3,26.2,1874-12,140.1
1875,1,59.7,30.1,1875-1,29.6
1875,2,323.8,75.4,1875-2,248.4
1875,3,260.6,162.4,1875-3,98.2
1875,4,197.2,196.6,1875-4,0.6
1875,5,134.8,10.6,1875-5,124.2
1875,6,141.1,312.9,1875-6,-171.8
1875,7,62.1,14.7,1875-7,47.4
1875,8,123.8,0.5,1875-8,123.3
1875,9,10.1,23.9,1875-9,-13.8
1875,10,105.6,26.8,1875-10,78.8
1875,11,56.7,137.2,1875-11,-80.5
1875,12,0.4,90.7,1875-12,-90.3
1876,1,25.7,141.7,1876-1,-116
1876,2,11.1,252.4,1876-2,-241.3
1876,3,169.1,62.4,1876-3,106.7
1876,4,7.1,8.6,1876-4,-1.5
1876,5,0,37.3,1876-5,-37.3
1876,6,12.8,2.5,1876-6,10.3
1876,7,6.6,61.3,1876-7,-54.7
1876,8,2.8,31.9,1876-8,-29.1
1876,9,1.2,103.2,1876-9,-102
1876,10,0,155.3,1876-10,-155.3
1876,11,29.7,39.5,1876-11,-9.8
1876,12,149.3,0,1876-12,149.3
1877,1,183.9,5,1877-1,178.9
1877,2,63.4,2.8,1877-2,60.6
1877,3,5,60.7,1877-3,-55.7
1877,4,20.2,73.5,1877-4,-53.3
1877,5,63.1,22.4,1877-5,40.7
1877,6,0,69,1877-6,-69
1877,7,2.8,1.4,1877-7,1.4
1877,8,34.9,0,1877-8,34.9
1877,9,50.9,22.1,1877-9,28.8
1877,10,0,126.3,1877-10,-126.3
1877,11,0,283.5,1877-11,-283.5
1877,12,1.1,22.2,1877-12,-21.1
1878,1,14.9,0,1878-1,14.9
1878,2,0,18.1,1878-2,-18.1
1878,3,47.9,0,1878-3,47.9
1878,4,0.4,0,1878-4,0.4
1878,5,51.5,0,1878-5,51.5
1878,6,40.5,0.5,1878-6,40
1878,7,0.4,0,1878-7,0.4
1878,8,0,0,1878-8,0
1878,9,57.2,0,1878-9,57.2
1878,10,9.6,0,1878-10,9.6
1878,11,23.6,0,1878-11,23.6
1878,12,0,2,1878-12,-2
1879,1,0,1.2,1879-1,-1.2
1879,2,0,0,1879-2,0
1879,3,0,0,1879-3,0
1879,4,0,50.5,1879-4,-50.5
1879,5,5.8,0,1879-5,5.8
1879,6,0,19.6,1879-6,-19.6
1879,7,27.8,23.5,1879-7,4.3
1879,8,35.2,3.3,1879-8,31.9
1879,9,41.3,0,1879-9,41.3
1879,10,22.3,59.2,1879-10,-36.9
1879,11,10.5,101.9,1879-11,-91.4
1879,12,0,33.8,1879-12,-33.8
1880,1,163.1,129.1,1880-1,34
1880,2,239.9,97.7,1880-2,142.2
1880,3,90.9,51.7,1880-3,39.2
1880,4,199.3,32.9,1880-4,166.4
1880,5,408.3,0.6,1880-5,407.7
1880,6,124,364.1,1880-6,-240.1
1880,7,113,93.1,1880-7,19.9
1880,8,702.1,119.2,1880-8,582.9
1880,9,322,604.5,1880-9,-282.5
1880,10,297.5,263.9,1880-10,33.6
1880,11,377.2,105.9,1880-11,271.3
1880,12,220,240.6,1880-12,-20.6
1881,1,296.1,289.1,1881-1,7
1881,2,424.8,251.1,1881-2,173.7
1881,3,363.6,276.9,1881-3,86.7
