log_s,log_rs,log_rs_diff,north,south
1.041392685,0.536366227,0.528510976,0.54292551,0.533165618
1.079181246,0.565755403,0.557518723,0.574160986,0.563515922
1.113943352,0.592824765,0.583906861,0.602757671,0.591249419
1.146128036,0.616946451,0.608516822,0.629080523,0.617175903
1.176091259,0.639648132,0.632097581,0.652952681,0.641654226
1.204119983,0.660566831,0.653765056,0.674955126,0.665616554
1.230448921,0.680649975,0.674027632,0.695867702,0.688310347
1.255272505,0.699127076,0.693203927,0.715641523,0.710635105
1.278753601,0.7169029,0.71084794,0.73450022,0.732223057
1.301029996,0.733915485,0.727763729,0.752694512,0.753654389
1.322219295,0.750300067,0.743858031,0.770533907,0.773672331
1.342422681,0.765666413,0.759070781,0.787609262,0.792644304
1.361727836,0.780104713,0.773621043,0.803965359,0.811028403
1.380211242,0.793746142,0.787478507,0.820023071,0.828685294
1.397940009,0.806510173,0.800354595,0.835868752,0.846202647
1.414973348,0.818759353,0.812327627,0.851583826,0.863341851
1.431363764,0.83038478,0.824037176,0.866981614,0.880026206
1.447158031,0.841577455,0.835286743,0.882132096,0.896243838
1.462397998,0.8527818,0.84615659,0.89661747,0.912248922
1.477121255,0.863544519,0.85689017,0.910693379,0.927557942
1.491361694,0.873718706,0.867053671,0.924733775,0.942453468
1.505149978,0.88378067,0.877118406,0.938527623,0.956997691
1.51851394,0.893494998,0.88729643,0.952148792,0.971099902
1.531478917,0.902969726,0.89718196,0.965598936,0.984822216
1.544068044,0.912167007,0.907044252,0.978705394,0.99821034
1.556302501,0.921308472,0.916908428,0.991682067,1.011414158
1.568201724,0.930239817,0.926679727,1.004471227,1.024261632
1.579783597,0.939140693,0.936450248,1.017057004,1.037010084
1.591064607,0.947926679,0.945969473,1.029514765,1.049572617
1.602059991,0.95659537,0.955254789,1.041533517,1.061850999
1.612783857,0.96528527,0.964240841,1.053281219,1.074092116
1.62324929,0.973591505,0.973024569,1.064697365,1.086166651
1.633468456,0.981886021,0.981562581,1.076205367,1.098036057
1.643452676,0.98976563,0.989628816,1.087710192,1.109512466
1.653212514,0.997512976,0.997629547,1.099137638,1.120914239
1.662757832,1.005078112,1.005462608,1.110368836,1.13208015
1.672097858,1.012333576,1.013227247,1.121547123,1.143126797
1.681241237,1.01974297,1.020727345,1.132789451,1.154035177
1.69019608,1.027232239,1.028267702,1.143881127,1.164623151
1.698970004,1.034555883,1.03569983,1.154820222,1.174973954
1.707570176,1.041680932,1.043078521,1.165678325,1.185177244
1.716003344,1.048573039,1.050174182,1.176521683,1.195201827
1.72427587,1.055593606,1.057430183,1.187126694,1.205043184
1.73239376,1.062441251,1.064471552,1.19759124,1.214610621
1.740362689,1.069011499,1.071341498,1.207895943,1.22404385
1.748188027,1.075572993,1.078134883,1.218003469,1.233361954
1.755874856,1.081910814,1.084712416,1.228033128,1.242502996
1.763427994,1.08809975,1.090979731,1.237913996,1.251482856
1.770852012,1.09375977,1.097136304,1.247624836,1.260329758
1.77815125,1.099480354,1.103367269,1.257170626,1.269013312
1.785329835,1.105166159,1.109638786,1.266531857,1.277624327
1.792391689,1.111126279,1.115740272,1.275770058,1.28610824
1.799340549,1.116813483,1.121756414,1.284937034,1.294492192
1.806179974,1.122576944,1.127660232,1.294034638,1.302807816
1.812913357,1.12829382,1.133410771,1.302992149,1.311002133
1.819543936,1.133850318,1.139025762,1.311773986,1.31906841
1.826074803,1.139400469,1.144487823,1.320337493,1.32701083
1.832508913,1.145103727,1.149728974,1.328728421,1.334886438
1.838849091,1.150829434,1.154793824,1.337006046,1.342691137
1.84509804,1.156261437,1.159731087,1.345115148,1.350387134
1.851258349,1.161789378,1.164477147,1.353045116,1.357966602
1.857332496,1.167201393,1.169013116,1.360843494,1.36544359
1.86332286,1.172423001,1.173447276,1.368505875,1.372785176
1.86923172,1.177791282,1.177918691,1.376032272,1.38002938
